display_name,source,avg_wait_mins,min_wait_mins,max_wait_mins,service_start,service_end
80M,stop_times.txt,7.0,7.0,7.0,07:00:00,22:00:00
25M,frequencies.txt,7.0,5.0,8.0,06:00:00,23:45:00
79M,frequencies.txt,7.0,4.0,10.0,06:30:00,24:00:00
28K,frequencies.txt,7.0,6.0,9.0,05:45:00,23:42:00
69K,frequencies.txt,7.0,4.0,10.0,06:30:00,24:00:00
619P,stop_times.txt,7.0,7.0,7.0,07:43:00,08:45:00
26W,frequencies.txt,7.0,7.0,7.0,07:00:00,20:00:00
288B,stop_times.txt,7.0,6.0,14.0,07:05:00,16:11:00
95M,frequencies.txt,7.0,2.0,35.0,06:00:00,24:35:00
807C,frequencies.txt,7.0,6.0,20.0,06:00:00,24:07:00
807A,frequencies.txt,7.0,6.0,20.0,06:00:00,24:07:00
63,stop_times.txt,7.1,1.0,137.0,05:45:00,26:05:00
271,stop_times.txt,7.1,1.0,60.0,05:35:00,25:26:00
507,stop_times.txt,7.1,1.0,52.0,06:30:00,22:00:00
5M,stop_times.txt,7.1,1.0,61.0,05:45:00,24:00:00
58X,stop_times.txt,7.1,1.0,90.0,05:30:00,25:16:00
4005,frequencies.txt,7.1,5.0,15.0,05:00:00,23:37:00
807K,frequencies.txt,7.1,6.0,15.0,05:45:00,24:27:00
50K,stop_times.txt,7.2,1.0,170.0,04:45:00,24:45:00
407,frequencies.txt,7.2,4.0,20.0,06:00:00,23:31:00
20A,stop_times.txt,7.2,1.0,180.0,06:00:00,24:55:00
278K,stop_times.txt,7.2,1.0,88.0,05:20:00,25:00:00
32A,frequencies.txt,7.2,5.0,15.0,06:48:00,23:45:00
73X,stop_times.txt,7.2,1.0,72.0,05:10:00,24:25:00
812A,frequencies.txt,7.2,5.0,15.0,06:00:00,24:06:00
20,stop_times.txt,7.3,1.0,213.0,05:35:00,24:20:00
74,stop_times.txt,7.3,1.0,40.0,05:45:00,22:21:00
93,stop_times.txt,7.3,1.0,19.0,06:00:00,23:29:00
51A,stop_times.txt,7.3,1.0,184.0,05:00:00,21:00:00
112A,frequencies.txt,7.3,4.0,12.0,06:00:00,24:30:00
64K,stop_times.txt,7.3,1.0,60.0,05:20:00,24:30:00
312,frequencies.txt,7.3,5.0,9.0,06:00:00,23:46:00
102,frequencies.txt,7.3,3.0,30.0,05:25:00,24:57:00
4B,frequencies.txt,7.3,5.0,10.0,06:00:00,23:30:00
51,frequencies.txt,7.4,4.0,60.0,05:00:00,24:06:00
118,frequencies.txt,7.4,4.0,20.0,06:02:00,24:55:00
3,frequencies.txt,7.4,3.0,20.0,05:40:00,24:15:00
9M,stop_times.txt,7.5,5.0,10.0,06:30:00,22:33:00
114A,stop_times.txt,7.5,1.0,10.0,06:30:00,22:30:00
